started,started,started,2020-03-06 07:43:00
46,0.005053504371804232,0.0050525100668892264,2020-03-06 07:46:45
47,0.005053584442427712,0.00494096614420414,2020-03-06 07:46:48
48,0.005052472309519847,0.004906308779027313,2020-03-06 07:46:51
49,0.0050524408245419565,0.004803934949450195,2020-03-06 07:46:54
50,0.005053591618895637,0.0048800461227074265,2020-03-06 07:46:56
51,0.005051855904426664,0.004867268726229668,2020-03-06 07:46:59
52,0.005050533619570605,0.004936674929922447,2020-03-06 07:47:02
53,0.005051525116481996,0.004818259505555034,2020-03-06 07:47:05
started,started,started,2020-03-06 07:47:14
1,0.2905328239954955,0.020030379528179765,2020-03-06 07:47:16
2,0.007499699219929199,0.005115545587614179,2020-03-06 07:47:19
3,0.005239311077281939,0.005228272755630314,2020-03-06 07:47:22
4,0.0051860653214050945,0.005103156552650034,2020-03-06 07:47:24
started,started,started,2020-03-06 07:48:39
1,0.3305797778228496,0.08121718186885118,2020-03-06 07:48:42
started,started,started,2020-03-06 08:01:39
1,0.2192983306442381,0.01204744866117835,2020-03-06 08:01:41
2,0.006146193240894705,0.005158203101018444,2020-03-06 08:01:44
started,started,started,2020-03-06 08:05:21
1,0.17708838524970602,0.015409896848723292,2020-03-06 08:05:24
2,0.006459360598778048,0.005051921121776104,2020-03-06 08:05:27
started,started,started,2020-03-06 08:06:09
1,0.3162327416188328,0.044794140849262476,2020-03-06 08:06:12
2,0.010095801422412091,0.0050676820683293045,2020-03-06 08:06:14
started,started,started,2020-03-06 08:06:40
started,started,started,2020-03-06 08:07:11
1,0.3432280610031481,0.024358520982787013,2020-03-06 08:07:14
2,0.007910185569487777,0.005133890896104276,2020-03-06 08:07:16
3,0.005282964752260463,0.004993127891793847,2020-03-06 08:07:19
4,0.005241161895955497,0.005213205178733915,2020-03-06 08:07:22
5,0.005219116062256144,0.004982101439964026,2020-03-06 08:07:24
6,0.005188847114232943,0.005124857532791793,2020-03-06 08:07:27
7,0.005161403211045032,0.0049229869327973574,2020-03-06 08:07:30
8,0.005133977014545008,0.004944783460814506,2020-03-06 08:07:32
9,0.005109567713679363,0.004834062943700701,2020-03-06 08:07:35
10,0.005089173463325129,0.0049075771239586174,2020-03-06 08:07:38
11,0.005081479971013065,0.004824033472687006,2020-03-06 08:07:41
12,0.005077680957615904,0.004854184342548251,2020-03-06 08:07:43
13,0.005071325988858832,0.004944502667058259,2020-03-06 08:07:46
